
dietary plant proteins	carcinomatosis
powdered ginger	coarse tremors
cultivated oats	action tremor
unhealthy food	zoonotic disease
weed	herpesvirus
chili peppers	uterus cancers
herb	amyotrophic lateral sclerosis-parkinsonism-dementia complex 1
grecian foxglove	delusory parasitosis
oats	iron overload
triticum turgidum subsp. durum	colitis gravis
solanum	iron deficiency
peach trees	non-alcoholic fatty liver disease
lime	national cancer
leek	myocardial failure
plant-based foods	apneas
sunfish	small noncleaved-cell lymphoma
da huang	ovarian cancer
fruit-shaped marshmallows	unilateral headache
broad beans	preinvasive carcinoma
ice creams	throat cancer
